Position,Game Name,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update
1152,Final Fight    ,Series,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,3.20m,N/A,N/A,N/A,N/A,N/A,01st Dec 89  ,03rd Feb 20
1153,Killer Instinct    ,SNES,Nintendo  ,Rare Ltd.  ,N/A  ,N/A  ,N/A  ,3.20m,N/A,N/A,N/A,N/A,N/A,01st Aug 95  ,N/A
1154,Lego Star Wars: The Skywalker Saga    ,All,Warner Bros. Interactive Entertainment  ,TT Games  ,N/A  ,N/A  ,N/A  ,3.20m,N/A,N/A,N/A,N/A,N/A,05th Apr 22  ,22nd Apr 22
1155,Perfect Dark    ,N64,Rare  ,Rare Ltd.  ,N/A  ,9.7  ,N/A  ,3.20m,N/A,N/A,N/A,N/A,N/A,22nd May 00  ,N/A
1156,Star Wars: Knights of the Old Republic    ,All,LucasArts  ,BioWare  ,N/A  ,N/A  ,N/A  ,3.20m,N/A,N/A,N/A,N/A,N/A,15th Jul 03  ,04th Jan 21
1157,WWF SmackDown! 2: Know Your Role    ,PS,THQ  ,Yuke's  ,N/A  ,8.7  ,N/A  ,N/A,3.20m,1.76m,1.21m,0.07m,0.16m,21st Nov 00  ,N/A
1158,Assassin's Creed IV: Black Flag    ,PS4,Ubisoft  ,Ubisoft Montreal  ,N/A  ,8.3  ,N/A  ,N/A,3.19m,1.07m,1.55m,0.06m,0.51m,15th Nov 13  ,14th Mar 18
1159,Front Mission    ,Series,Square  ,G-Craft  ,N/A  ,N/A  ,N/A  ,3.18m,N/A,N/A,N/A,N/A,N/A,29th Feb 00  ,29th Feb 20
1160,Personal Trainer: Cooking    ,DS,Nintendo  ,Nintendo EAD  ,N/A  ,8.4  ,N/A  ,3.18m,N/A,N/A,N/A,N/A,N/A,24th Nov 08  ,N/A
1161,SimCity    ,All,Maxis  ,Maxis  ,N/A  ,N/A  ,N/A  ,3.18m,N/A,N/A,N/A,N/A,N/A,02nd Feb 89  ,27th Nov 20
1162,Enter the Matrix    ,PS2,Atari  ,Shiny Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,3.18m,1.78m,1.12m,0.09m,0.19m,14th May 03  ,N/A
1163,Assassin's Creed Odyssey    ,PS4,Ubisoft  ,Ubisoft Quebec  ,N/A  ,9.5  ,N/A  ,N/A,3.18m,1.18m,1.40m,0.09m,0.51m,05th Oct 18  ,17th Nov 18
1164,Fallout: New Vegas    ,PS3,Bethesda Softworks  ,Obsidian Entertainment  ,N/A  ,8.2  ,N/A  ,N/A,3.17m,1.54m,1.04m,0.10m,0.49m,19th Oct 10  ,N/A
1165,Sonic Heroes    ,PS2,Sega  ,Sonic Team  ,N/A  ,6.6  ,N/A  ,3.16m,N/A,N/A,N/A,N/A,N/A,27th Jan 04  ,N/A
1166,Club Penguin: Elite Penguin Force    ,DS,Disney Interactive Studios  ,1st Playable Productions  ,N/A  ,7.0  ,N/A  ,N/A,3.14m,1.87m,0.97m,N/A,0.30m,25th Nov 08  ,N/A
1167,FIFA Soccer 08    ,PS2,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,N/A,3.14m,0.68m,0.00m,N/A,2.46m,09th Oct 07  ,N/A
1168,FIFA 18    ,XOne,EA Sports  ,EA Vancouver  ,N/A  ,8.0  ,N/A  ,N/A,3.14m,0.98m,1.92m,N/A,0.23m,29th Sep 17  ,02nd Apr 18
1169,Spider-Man    ,PS,Activision  ,Neversoft Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,3.13m,1.70m,1.25m,0.02m,0.16m,30th Aug 00  ,N/A
1170,Need for Speed III: Hot Pursuit    ,PS,Electronic Arts  ,EA Canada  ,N/A  ,N/A  ,N/A  ,N/A,3.12m,2.14m,0.86m,N/A,0.13m,25th Mar 98  ,N/A
1171,The Elder Scrolls IV: Oblivion    ,PS3,Bethesda Softworks  ,4J Studios  ,8.8  ,9.3  ,N/A  ,N/A,3.12m,1.69m,0.86m,0.14m,0.44m,20th Mar 07  ,N/A
1172,Kid Icarus    ,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,3.12m,N/A,N/A,N/A,N/A,N/A,01st Jul 87  ,10th May 22
1173,Star Wars Episode I Racer    ,N64,LucasArts  ,LucasArts  ,N/A  ,8.7  ,N/A  ,3.12m,N/A,N/A,N/A,N/A,N/A,19th May 99  ,N/A
1174,Tekken 6    ,PS3,Namco Bandai  ,Namco Bandai Games  ,N/A  ,7.9  ,N/A  ,3.12m,N/A,N/A,N/A,N/A,N/A,27th Oct 09  ,N/A
1175,Yoshi    ,GB,Nintendo  ,Game Freak  ,N/A  ,N/A  ,N/A  ,3.12m,N/A,N/A,N/A,N/A,N/A,01st Jul 92  ,N/A
1176,Resident Evil 6    ,PS3,Capcom  ,Capcom  ,7.7  ,N/A  ,N/A  ,N/A,3.12m,0.88m,0.97m,0.88m,0.39m,02nd Oct 12  ,N/A
1177,Tom Clancy's Ghost Recon Wildlands    ,PS4,Ubisoft  ,Ubisoft Paris  ,N/A  ,7.0  ,N/A  ,N/A,3.12m,1.07m,1.35m,0.22m,0.47m,07th Mar 17  ,01st Apr 18
1178,NBA 2K13    ,X360,2K Sports  ,Visual Concepts  ,N/A  ,8.6  ,N/A  ,N/A,3.11m,2.62m,0.21m,0.01m,0.28m,02nd Oct 12  ,04th Jan 18
1179,Titanfall    ,XOne,Electronic Arts  ,Respawn Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,3.11m,1.88m,0.91m,0.04m,0.28m,11th Mar 14  ,12th Jan 18
1180,Mario Party 9    ,Wii,Nintendo  ,"Nd Cube Co., Ltd.  ",5.8  ,6.5  ,N/A  ,3.11m,N/A,N/A,N/A,N/A,N/A,11th Mar 12  ,19th Nov 18
1181,Bravely    ,Series,Nintendo  ,Silicon Studio  ,N/A  ,N/A  ,N/A  ,3.10m,N/A,N/A,N/A,N/A,N/A,07th Feb 14  ,29th Feb 20
1182,Dead Rising    ,All,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,3.10m,N/A,N/A,N/A,N/A,N/A,08th Aug 06  ,10th Oct 20
1183,Dead Rising 2    ,All,Capcom  ,Blue Castle Games  ,N/A  ,N/A  ,N/A  ,3.10m,N/A,N/A,N/A,N/A,N/A,28th Sep 10  ,12th Oct 20
1184,Dead Rising 3    ,XOne,Microsoft Studios  ,Capcom  ,7.9  ,N/A  ,N/A  ,3.10m,N/A,N/A,N/A,N/A,N/A,22nd Nov 13  ,24th Mar 18
1185,Parasite Eve    ,Series,Square  ,Square  ,N/A  ,N/A  ,N/A  ,3.10m,N/A,N/A,N/A,N/A,N/A,09th Sep 98  ,29th Feb 20
1186,Quake    ,Series,GT Interactive  ,id Software  ,N/A  ,N/A  ,N/A  ,3.10m,N/A,N/A,N/A,N/A,N/A,22nd Jun 96  ,25th Feb 21
1187,Resident Evil: Revelations 2    ,All,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,3.10m,N/A,N/A,N/A,N/A,N/A,24th Feb 15  ,11th Oct 20
1188,Mass Effect 2     ,X360,Electronic Arts  ,BioWare Edmonton  ,9.5  ,9.5  ,8.9  ,N/A,3.10m,1.99m,0.81m,0.03m,0.27m,26th Jan 10  ,N/A
1189,Sacred    ,Series,Encore  ,Ascaron  ,N/A  ,N/A  ,N/A  ,3.09m,N/A,N/A,N/A,N/A,N/A,25th Mar 04  ,21st Apr 21
1190,Bayonetta    ,Series,Sega  ,PlatinumGames  ,N/A  ,N/A  ,N/A  ,3.09m,N/A,N/A,N/A,N/A,N/A,05th Jan 10  ,24th Nov 20
1191,Madden NFL 2002    ,PS2,EA Sports  ,EA Sports  ,N/A  ,N/A  ,N/A  ,N/A,3.08m,2.50m,0.16m,0.01m,0.42m,19th Aug 01  ,N/A
1192,World Class Track Meet    ,NES,Bandai  ,Bandai  ,N/A  ,N/A  ,N/A  ,3.08m,N/A,N/A,N/A,N/A,N/A,01st Sep 87  ,N/A
1193,LEGO Batman: The Videogame    ,Wii,Warner Bros. Interactive  ,Traveller's Tales  ,7.5  ,7.3  ,N/A  ,N/A,3.08m,1.80m,0.98m,N/A,0.29m,23rd Sep 08  ,N/A
1194,Saints Row 2    ,X360,THQ  ,Volition Inc.  ,N/A  ,7.9  ,N/A  ,N/A,3.07m,1.98m,0.79m,0.02m,0.28m,14th Oct 08  ,02nd Apr 18
1195,Donkey Kong    ,GB,Nintendo  ,Nintendo EAD  ,N/A  ,N/A  ,N/A  ,3.07m,N/A,N/A,N/A,N/A,N/A,01st Jun 94  ,N/A
1196,New Super Luigi U    ,WiiU,Nintendo  ,Nintendo  ,8.2  ,7.8  ,N/A  ,3.07m,N/A,N/A,N/A,N/A,N/A,25th Aug 13  ,24th Jan 18
1197,The Sims: Vacation    ,PC,Electronic Arts  ,Maxis  ,N/A  ,N/A  ,N/A  ,N/A,3.07m,1.72m,1.21m,N/A,0.14m,25th Mar 02  ,N/A
1198,Call of Duty: Ghosts    ,XOne,Activision  ,Infinity Ward  ,N/A  ,7.5  ,N/A  ,N/A,3.07m,1.92m,0.86m,N/A,0.28m,22nd Nov 13  ,21st Mar 18
1199,LEGO Batman: The Videogame    ,DS,Warner Bros. Interactive  ,Traveller's Tales  ,N/A  ,7.8  ,N/A  ,N/A,3.06m,1.75m,1.02m,N/A,0.29m,23rd Sep 08  ,N/A
1200,Borderlands 2    ,X360,2K Games  ,Gearbox Software  ,N/A  ,N/A  ,N/A  ,N/A,3.06m,1.89m,0.88m,0.04m,0.26m,15th Jan 13  ,N/A
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1351,Baldur's Gate    ,PC,Interplay  ,BioWare  ,N/A  ,9.2  ,N/A  ,2.80m,N/A,N/A,N/A,N/A,N/A,30th Nov 98  ,N/A
1352,Beyond: Two Souls    ,All,Sony Computer Entertainment  ,Quantic Dream  ,N/A  ,N/A  ,N/A  ,2.80m,N/A,N/A,N/A,N/A,N/A,08th Oct 13  ,08th Mar 21
1353,Dragon Quest V: Tenkuu no Hanayome    ,SNES,Enix  ,ChunSoft  ,N/A  ,N/A  ,N/A  ,2.80m,N/A,N/A,N/A,N/A,N/A,27th Sep 92  ,N/A
1354,Hollow Knight    ,Series,Team Cherry  ,Team Cherry  ,N/A  ,N/A  ,N/A  ,2.80m,N/A,N/A,N/A,N/A,N/A,24th Feb 17  ,14th Mar 20
1355,Hollow Knight    ,All,Team Cherry  ,Team Cherry  ,N/A  ,N/A  ,N/A  ,2.80m,N/A,N/A,N/A,N/A,N/A,24th Feb 17  ,21st Jan 21
1356,Infestation: Survivor Stories    ,PC,Unknown  ,Hammerpoint Interactive  ,N/A  ,N/A  ,N/A  ,2.80m,N/A,N/A,N/A,N/A,N/A,N/A  ,17th Mar 20
1357,Madden NFL 07    ,PS2,EA Sports  ,EA Tiburon  ,N/A  ,8.5  ,N/A  ,2.80m,N/A,N/A,N/A,N/A,N/A,22nd Aug 06  ,N/A
1358,Magicka    ,PC,Paradox Interactive   ,Arrowhead Game Studios  ,7.7  ,7.6  ,N/A  ,2.80m,N/A,N/A,N/A,N/A,N/A,25th Jan 11  ,N/A
1359,Tom Clancy's Splinter Cell: Pandora Tomorrow    ,All,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,2.80m,N/A,N/A,N/A,N/A,N/A,23rd Mar 04  ,07th Nov 20
1360,Hot Shots Golf    ,PS,Sony Computer Entertainment  ,Camelot Software Planning  ,N/A  ,N/A  ,N/A  ,N/A,2.79m,0.29m,0.20m,2.13m,0.18m,05th May 98  ,N/A
1361,Trine 2    ,PC,Frozenbyte  ,Frozenbyte  ,8.7  ,N/A  ,N/A  ,2.79m,N/A,N/A,N/A,N/A,N/A,07th Dec 11  ,N/A
1362,Skylanders: Spyro's Adventure    ,Wii,Activision  ,Toys for Bob  ,N/A  ,8.0  ,N/A  ,N/A,2.79m,1.35m,1.15m,N/A,0.30m,16th Oct 11  ,N/A
1363,A Bug's Life    ,PS,Sony Computer Entertainment  ,Traveller's Tales  ,N/A  ,3.6  ,N/A  ,N/A,2.79m,1.96m,0.72m,N/A,0.11m,31st Oct 98  ,N/A
1364,WWF SmackDown! Just Bring It    ,PS2,THQ  ,Yuke's  ,N/A  ,N/A  ,N/A  ,N/A,2.79m,1.19m,1.15m,0.04m,0.41m,18th Nov 01  ,N/A
1365,Mortal Kombat Trilogy    ,PS,Midway Games  ,Avalanche Software  ,N/A  ,N/A  ,N/A  ,N/A,2.79m,1.98m,0.70m,N/A,0.11m,01st Sep 96  ,N/A
1366,NBA Street    ,PS2,EA Sports BIG   ,NuFX  ,N/A  ,N/A  ,N/A  ,N/A,2.79m,2.19m,0.22m,N/A,0.38m,18th Jun 01  ,N/A
1367,The Sims    ,PS2,Electronic Arts  ,Edge of Reality  ,N/A  ,N/A  ,N/A  ,N/A,2.77m,1.41m,1.12m,N/A,0.24m,12th Jan 03  ,N/A
1368,Star Wars: The Force Unleashed    ,X360,LucasArts  ,LucasArts  ,N/A  ,7.1  ,N/A  ,N/A,2.77m,1.74m,0.78m,N/A,0.26m,16th Sep 08  ,N/A
1369,Saints Row: The Third    ,X360,THQ  ,Volition Inc.  ,N/A  ,8.3  ,N/A  ,N/A,2.77m,1.26m,1.14m,0.07m,0.30m,15th Nov 11  ,N/A
1370,Tekken 7    ,PS4,Namco Bandai Games  ,Namco Bandai Games  ,N/A  ,N/A  ,N/A  ,2.77m,N/A,N/A,N/A,N/A,N/A,02nd Jun 17  ,15th Jan 18
1371,Valkyria Chronicles    ,Series,Sega  ,Sega  ,N/A  ,N/A  ,N/A  ,2.77m,N/A,N/A,N/A,N/A,N/A,04th Nov 08  ,14th Sep 20
1372,Battlefield 3    ,PC,Electronic Arts  ,Dice  ,8.4  ,8.9  ,N/A  ,N/A,2.76m,0.89m,1.44m,N/A,0.43m,25th Oct 11  ,N/A
1373,The Binding of Isaac: Rebirth    ,PC,Nicalis  ,Nicalis  ,N/A  ,N/A  ,N/A  ,2.76m,N/A,N/A,N/A,N/A,N/A,04th Nov 14  ,06th Aug 18
1374,Resident Evil    ,PS,Capcom  ,Capcom  ,N/A  ,8.6  ,N/A  ,2.75m,N/A,N/A,N/A,N/A,N/A,30th Mar 96  ,N/A
1375,Need for Speed: Most Wanted (2012)    ,PS3,Electronic Arts  ,Criterion Games  ,N/A  ,N/A  ,N/A  ,N/A,2.74m,0.71m,1.52m,0.06m,0.45m,30th Oct 12  ,19th Dec 18
1376,Tetris DS    ,DS,Nintendo  ,Nintendo  ,N/A  ,8.5  ,N/A  ,2.74m,N/A,N/A,N/A,N/A,N/A,20th Mar 06  ,N/A
1377,L.A. Noire    ,X360,Rockstar Games  ,Team Bondi  ,8.0  ,9.1  ,N/A  ,N/A,2.73m,1.55m,0.92m,0.02m,0.24m,15th Nov 11  ,N/A
1378,Metroid    ,NES,Nintendo  ,Nintendo R&D1  ,N/A  ,N/A  ,N/A  ,2.73m,N/A,N/A,N/A,N/A,N/A,15th Aug 87  ,N/A
1379,Far Cry: Primal    ,PS4,Ubisoft  ,Ubisoft Montreal  ,N/A  ,7.2  ,N/A  ,N/A,2.73m,0.63m,1.61m,0.07m,0.41m,23rd Feb 16  ,03rd Apr 18
1380,Overwatch    ,XOne,Blizzard Entertainment  ,Blizzard Entertainment  ,N/A  ,8.7  ,N/A  ,N/A,2.72m,1.63m,0.84m,N/A,0.25m,24th May 16  ,24th Mar 18
1381,Need for Speed (2015)    ,PS4,Electronic Arts  ,Ghost Games  ,N/A  ,7.0  ,N/A  ,N/A,2.72m,0.59m,1.66m,0.06m,0.41m,03rd Nov 15  ,03rd Apr 18
1382,Madden NFL 13    ,PS3,EA Sports  ,EA Tiburon  ,N/A  ,8.3  ,N/A  ,N/A,2.71m,2.12m,0.24m,N/A,0.36m,28th Aug 12  ,04th Jan 18
1383,Skate 3    ,X360,EA Sports  ,EA Black Box  ,7.7  ,8.3  ,N/A  ,N/A,2.71m,1.47m,0.99m,N/A,0.25m,11th May 10  ,N/A
1384,Tom Clancy's Rainbow Six: Siege    ,XOne,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,N/A,2.71m,1.62m,0.84m,N/A,0.25m,01st Dec 15  ,09th Jan 18
1385,World Soccer Winning Eleven 7 International    ,PS2,Konami  ,Konami Computer Entertainment Tokyo  ,N/A  ,9.2  ,N/A  ,2.71m,N/A,N/A,N/A,N/A,N/A,17th Feb 04  ,N/A
1386,Divinity: Original Sin    ,PC,Focus Home Interactive  ,Unknown  ,N/A  ,N/A  ,N/A  ,2.71m,N/A,N/A,N/A,N/A,N/A,27th Oct 15  ,N/A
1387,Madden NFL 12    ,X360,EA Sports  ,EA Tiburon  ,N/A  ,7.8  ,N/A  ,N/A,2.70m,2.43m,0.11m,N/A,0.16m,30th Aug 11  ,N/A
1388,1602 A.D.     ,PC,Sunflowers  ,Max Design  ,N/A  ,N/A  ,N/A  ,2.70m,N/A,N/A,N/A,N/A,N/A,01st Feb 00  ,N/A
1389,Lego Harry Potter: Years 1-4    ,All,Warner Bros. Interactive Entertainment  ,Warner Bros. Interactive Entertainment  ,N/A  ,N/A  ,N/A  ,2.70m,N/A,N/A,N/A,N/A,N/A,29th Jun 10  ,01st Nov 20
1390,Mario Party    ,N64,Nintendo  ,Hudson Soft  ,N/A  ,7.6  ,N/A  ,2.70m,N/A,N/A,N/A,N/A,N/A,08th Feb 99  ,N/A
1391,World of Warcraft: Mists of Pandaria    ,PC,Blizzard Entertainment  ,Blizzard Entertainment  ,8.4  ,N/A  ,N/A  ,2.70m,N/A,N/A,N/A,N/A,N/A,25th Sep 12  ,22nd Apr 18
1392,Call of Duty 3    ,X360,Activision  ,Treyarch  ,N/A  ,8.0  ,8.4  ,N/A,2.70m,1.49m,0.92m,0.02m,0.27m,07th Nov 06  ,N/A
1393,LEGO Star Wars II: The Original Trilogy    ,PS2,LucasArts  ,Traveller's Tales  ,N/A  ,8.4  ,N/A  ,N/A,2.69m,1.85m,0.64m,0.01m,0.19m,12th Sep 06  ,N/A
1394,Sonic the Hedgehog (2006)    ,All,Sega  ,Sonic Team  ,N/A  ,N/A  ,N/A  ,2.69m,N/A,N/A,N/A,N/A,N/A,14th Nov 06  ,14th Nov 20
1395,Madden NFL 11    ,X360,EA Sports  ,EA Tiburon  ,N/A  ,8.3  ,N/A  ,N/A,2.69m,2.38m,0.12m,N/A,0.19m,10th Aug 10  ,N/A
1396,Burnout 3: Takedown    ,PS2,Electronic Arts  ,Criterion Games  ,N/A  ,9.3  ,N/A  ,N/A,2.68m,1.23m,1.11m,N/A,0.34m,07th Sep 04  ,N/A
1397,Iron Man    ,All,Sega  ,Artificial Mind & Movement  ,N/A  ,N/A  ,N/A  ,2.68m,N/A,N/A,N/A,N/A,N/A,02nd May 08  ,13th Nov 20
1398,Mario & Luigi: Dream Team    ,3DS,Nintendo  ,AlphaDream Corporation  ,7.8  ,8.0  ,N/A  ,2.68m,N/A,N/A,N/A,N/A,N/A,11th Aug 13  ,28th Aug 18
1399,Mortal Kombat    ,GEN,Arena Entertainment  ,Probe Entertainment Limited  ,N/A  ,N/A  ,N/A  ,N/A,2.67m,1.95m,0.63m,N/A,0.09m,13th Sep 93  ,N/A
1400,Call of Duty 2: Big Red One    ,PS2,Activision  ,Treyarch  ,N/A  ,8.5  ,N/A  ,N/A,2.67m,1.48m,0.92m,0.01m,0.26m,01st Nov 05  ,N/A
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1501,Game Party    ,Wii,Midway Games  ,JGI Entertainment  ,N/A  ,2.6  ,N/A  ,N/A,2.49m,1.47m,0.77m,N/A,0.24m,27th Nov 07  ,N/A
1502,Mortal Kombat: Deadly Alliance    ,PS2,Midway Games  ,Midway  ,N/A  ,8.2  ,N/A  ,N/A,2.49m,1.81m,0.52m,N/A,0.15m,16th Nov 02  ,N/A
1503,Dungeon Defenders    ,PC,Trendy Entertainment  ,Trendy Entertainment  ,N/A  ,8.3  ,N/A  ,2.48m,N/A,N/A,N/A,N/A,N/A,19th Oct 11  ,N/A
1504,Mario Party 2    ,N64,Nintendo  ,Hudson Soft  ,N/A  ,N/A  ,N/A  ,2.48m,N/A,N/A,N/A,N/A,N/A,24th Jan 00  ,N/A
1505,Paper Mario: Sticker Star    ,3DS,Nintendo  ,Intelligent Systems  ,6.8  ,N/A  ,N/A  ,2.48m,N/A,N/A,N/A,N/A,N/A,11th Nov 12  ,05th Jan 18
1506,Saints Row: The Third    ,PS3,THQ  ,Volition Inc.  ,N/A  ,8.3  ,N/A  ,N/A,2.48m,0.86m,1.06m,0.18m,0.37m,15th Nov 11  ,N/A
1507,Tomb Raider: The Last Revelation    ,PS,Eidos Interactive  ,Core Design Ltd.  ,N/A  ,N/A  ,N/A  ,N/A,2.48m,1.15m,1.14m,0.06m,0.13m,22nd Nov 99  ,N/A
1508,Assassin's Creed Origins    ,XOne,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,N/A,2.47m,1.34m,0.92m,N/A,0.22m,27th Oct 17  ,10th Jan 18
1509,Pure    ,X360,Disney Interactive Studios  ,Black Rock Studio  ,N/A  ,8.3  ,N/A  ,N/A,2.47m,1.38m,0.84m,0.00m,0.25m,16th Sep 08  ,N/A
1510,Rock Band    ,X360,MTV Games  ,Harmonix Music Systems  ,9.1  ,9.1  ,N/A  ,N/A,2.47m,1.93m,0.33m,N/A,0.21m,20th Nov 07  ,N/A
1511,Minecraft    ,PSV,Sony Computer Entertainment America  ,4J Studios  ,N/A  ,N/A  ,N/A  ,N/A,2.47m,0.22m,0.73m,1.25m,0.27m,11th Nov 14  ,05th Aug 18
1512,Battlefield 1942    ,PC,Electronic Arts  ,Digital Illusions CE  ,N/A  ,9.0  ,N/A  ,2.47m,N/A,N/A,N/A,N/A,N/A,10th Sep 02  ,N/A
1513,WarioWare Touched!    ,DS,Nintendo  ,Intelligent Systems  ,N/A  ,7.8  ,N/A  ,2.47m,N/A,N/A,N/A,N/A,N/A,14th Feb 05  ,N/A
1514,Resistance 2    ,PS3,Sony Computer Entertainment  ,Insomniac Games  ,8.7  ,8.5  ,8.7  ,N/A,2.47m,1.15m,0.84m,0.10m,0.38m,04th Nov 08  ,N/A
1515,Batman: Arkham City    ,PC,Warner Bros. Interactive  ,Rocksteady Studios  ,N/A  ,9.0  ,N/A  ,2.47m,N/A,N/A,N/A,N/A,N/A,22nd Nov 11  ,N/A
1516,Madden NFL 16    ,XOne,EA Sports  ,EA Tiburon  ,N/A  ,8.4  ,N/A  ,N/A,2.47m,2.13m,0.08m,N/A,0.26m,25th Aug 15  ,31st Mar 18
1517,Mario Party 4    ,GC,Nintendo  ,Hudson Soft  ,N/A  ,7.0  ,N/A  ,2.46m,N/A,N/A,N/A,N/A,N/A,21st Oct 02  ,N/A
1518,Dying Light    ,PS4,Warner Bros. Interactive  ,Techland  ,8.0  ,N/A  ,N/A  ,N/A,2.45m,1.18m,0.74m,0.13m,0.40m,27th Jan 15  ,04th May 18
1519,Sonic Unleashed    ,All,Sega  ,Sonic Team  ,N/A  ,N/A  ,N/A  ,2.45m,N/A,N/A,N/A,N/A,N/A,18th Nov 08  ,13th Nov 20
1520,LEGO Harry Potter: Years 1-4    ,Wii,Warner Bros. Interactive  ,Traveller's Tales  ,N/A  ,7.9  ,N/A  ,N/A,2.45m,1.29m,0.94m,N/A,0.22m,29th Jun 10  ,01st Dec 18
1521,uDraw Studio    ,Wii,THQ  ,"Pipeworks Software, Inc.  ",N/A  ,N/A  ,N/A  ,N/A,2.44m,1.65m,0.58m,N/A,0.21m,14th Nov 10  ,N/A
1522,BlazBlue    ,Series,Aksys Games  ,Arc System Works  ,N/A  ,N/A  ,N/A  ,2.44m,N/A,N/A,N/A,N/A,N/A,20th Nov 08  ,19th Feb 21
1523,Madden NFL 17    ,XOne,EA Sports  ,EA Tiburon  ,N/A  ,8.1  ,N/A  ,N/A,2.44m,2.14m,0.04m,N/A,0.26m,23rd Aug 16  ,01st Apr 18
1524,Xenoblade Chronicles 2    ,NS,Nintendo  ,Monolith Soft  ,N/A  ,8.2  ,9.2  ,2.44m,N/A,N/A,N/A,N/A,N/A,01st Dec 17  ,01st Jan 18
1525,Twisted Metal 2    ,PS,Sony Computer Entertainment  ,SingleTrac  ,N/A  ,8.7  ,N/A  ,N/A,2.44m,2.12m,0.25m,N/A,0.07m,31st Oct 96  ,N/A
1526,The Sims: Bustin' Out    ,PS2,Electronic Arts  ,Maxis  ,N/A  ,N/A  ,N/A  ,N/A,2.43m,1.07m,1.19m,N/A,0.18m,15th Dec 03  ,N/A
1527,Dragon Ball: Xenoverse    ,PS4,Namco Bandai Games  ,Dimps Corporation  ,N/A  ,N/A  ,N/A  ,2.43m,N/A,N/A,N/A,N/A,N/A,24th Feb 15  ,11th Sep 18
1528,Sonic & Sega All-Stars Racing    ,Series,Sega  ,Sumo Digital  ,N/A  ,N/A  ,N/A  ,2.43m,N/A,N/A,N/A,N/A,N/A,23rd Feb 10  ,13th Nov 20
1529,Tom Clancy's Ghost Recon    ,All,Ubisoft  ,Red Storm Entertainment  ,N/A  ,N/A  ,N/A  ,2.43m,N/A,N/A,N/A,N/A,N/A,13th Nov 01  ,02nd Nov 20
1530,Need for Speed Carbon: Own the City    ,PSP,Electronic Arts  ,EA Black Box  ,N/A  ,7.4  ,N/A  ,N/A,2.42m,0.87m,0.97m,N/A,0.58m,31st Oct 06  ,N/A
1531,Ice Hockey    ,NES,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,2.42m,N/A,N/A,N/A,N/A,N/A,01st Mar 88  ,N/A
1532,Sonic Adventure    ,DC,Sega  ,Sonic Team  ,N/A  ,8.9  ,N/A  ,N/A,2.42m,1.26m,0.61m,0.46m,0.08m,09th Sep 99  ,N/A
1533,Tom Clancy's Rainbow Six: Vegas 2    ,X360,Ubisoft  ,Ubisoft Montreal  ,N/A  ,8.2  ,N/A  ,N/A,2.42m,1.56m,0.61m,0.02m,0.23m,18th Mar 08  ,N/A
1534,God of War Collection    ,PS3,Sony Computer Entertainment  ,Bluepoint Games  ,9.0  ,9.2  ,N/A  ,2.42m,N/A,N/A,N/A,N/A,N/A,17th Nov 09  ,N/A
1535,Kinect: Disneyland Adventures    ,X360,Microsoft Studios  ,Frontier Developments  ,6.8  ,8.5  ,N/A  ,N/A,2.41m,1.73m,0.43m,0.02m,0.23m,15th Nov 11  ,29th Sep 18
1536,Pro Evolution Soccer 2011    ,PS3,Konami  ,Konami  ,N/A  ,6.0  ,N/A  ,N/A,2.41m,0.29m,1.18m,0.54m,0.41m,05th Oct 10  ,N/A
1537,ATV Offroad Fury    ,PS2,Sony Computer Entertainment  ,Rainbow Studios  ,N/A  ,8.4  ,N/A  ,N/A,2.41m,2.07m,0.26m,N/A,0.08m,05th Feb 01  ,N/A
1538,Pokémon Colosseum    ,GC,Nintendo  ,Genius Sonority Inc.  ,N/A  ,7.0  ,N/A  ,2.41m,N/A,N/A,N/A,N/A,N/A,22nd Mar 04  ,N/A
1539,NBA 2K16    ,XOne,2K Sports  ,Visual Concepts  ,N/A  ,8.3  ,N/A  ,N/A,2.41m,2.01m,0.15m,N/A,0.25m,29th Sep 15  ,28th Mar 18
1540,Halo: Combat Evolved Anniversary    ,X360,Microsoft Studios  ,343 Industries  ,8.4  ,8.0  ,N/A  ,N/A,2.41m,1.44m,0.71m,0.04m,0.22m,15th Nov 11  ,N/A
